Text,User,Location,Country,Subjectivity,Polarity,Analysis
12,"TrumpsTenMillionCovidCases. 

There are now 10,185,012 Covid19 cases in America. 

243,269 Covid19 deaths 

1 in… ",pqpolitics,"Vancouver, BC",Canada,0.0,0.0,Neutral
13," As an epidemiologist, it’s hard to sleep

While online hate mail trolls call me sheep...

Watching pandemic, I lay awake...…",PattyArquette,,Italy,0.7208333333333333,-0.5458333333333334,Negative
14," Now that Italy has been caught up in Europe's second wave, there's a growing sense that the country and the continent…",MarijaneGreen,USA,,0.0,0.0,Neutral
15, The president-elect immediately signaled the importance of the COVID-19 fight to his administration. …,Drschelter,Brussels,Belgium - Belgique - Belgien,0.0,0.0,Neutral
16, Businesses and tax-exempt organizations with fewer than 500 full-time and part-time employees may be eligible for an IRS t…,lifelovetaxes,"Denver, Co",United States of America,0.0,0.0,Neutral
17," I had some choice words for the of South Dakota, one of my childhood states where I grew up... SD’s COVID19…",brokenbong,"Sunny,Cali",Panama,0.0,0.0,Neutral
18," When will recognise our worth? SME’s account for 99% of all UK Biz &amp; contribute £2tn annually. Put simply, f…",sanewland,"London, England",United Kingdom,0.2285714285714286,0.15,Positive
19," You are creating tomorrow, today!
You are shaping the next generation,
You are influencing others
You are Powerful
THEY NEED…",GauravLalan99,"Mumbai, India",India,0.5,0.15,Positive
20," At least five people in President Trump's orbit, including White House chief of staff Mark Meadows, have tested positive f…",HaslerkaO,"Washington, USA",United States of America,0.3151515151515151,-0.024242424242424242,Negative
21,You are Coronavirus ALADEEN.,viXiSaavedra,IG Influencer comment sections,,0.0,0.0,Neutral
22," It looks like Biden was the cure for coronavirus.
Hardly gets a mention now.
Funny that.",nordiskdna,Danmark ,,0.7708333333333333,-0.020833333333333343,Negative
23, My new piece a Biden win is a win for global health. ,DennisHol1,South West Scotland,United Kingdom,0.3136363636363636,0.4340909090909091,Positive
24,"Grim reading.

",francessmith,uk,,1.0,-1.0,Negative
25," A new study casts doubt on whether rapid tests perform as promised under real-world conditions, especially when used in peop…",ocanizwar,,Italy,0.7272727272727273,0.06818181818181818,Positive
26, Joe Biden was elected the nation’s 46th president Saturday in a repudiation of President Trump powered by legions of wo…,AllenWaiserman,Southern California,United States of America,0.0,0.0,Neutral
27,Coronavirus Disease 2019 Testing Basics...,MaquinasEmpac,,Italy,0.0,0.0,Neutral
28,"This is very good and, at the end of it, I actually smiled and laughed aloud at the thought that, yes, I officially… ",PaddyDrinks,"Los Angeles, CA",United States of America,0.39333333333333337,0.7366666666666667,Positive
29,"Confirmed cases of Covid19 continued to rise in India albeit at a slower pace, defying concerns that the festive s… ",BloombergQuint,"Mumbai, India",India,1.0,0.4,Positive
30,"blackstock This is Dr. Nunez-Smith, co-chair of Biden’s coronavirus task force. Need I say more?! 🙌🏿🙌🏿🙌🏿 ",MGuru2020,#PA01,Germany,0.5,0.625,Positive
31, Vietnam opts for containment over 'high risk' rush for costly vaccine ,k1ka1der,,Italy,0.5399999999999999,0.16,Positive
32, BREAKING Worldwide coronavirus cases pass 50 million,Mr_jb_Maverick,,Italy,0.0,0.0,Neutral
33," 🐾 Clemson 40
☘️ Fighting Irish 47
🦠 Coronavirus 538 ",tocayo0402,,Italy,0.0,0.0,Neutral
34,That wasn't coronavirus they died from bitch and they all burning in hell,PKPk38197072,,Italy,0.0,0.0,Neutral
35," EU / UK could even at this stage agree to extend transition period on current terms. 
UK could then revisit EEA o…",Insidepath1,,Italy,0.4,0.0,Neutral
36," Anita and Dharti, attached to Sewri TB Hospital, have not let disability come in the way of their work during the pandemi…",anshumanmishra0,Maya Nagari,Indonesia,0.0,0.0,Neutral
37, North Dakota and South Dakota have the nation’s worst rate of coronavirus deaths per capita in the last 30 days. Hundreds more peop…,WomensHoopsBlog,,Italy,0.5222222222222223,-0.16666666666666666,Negative
38," Spain has the highest coronavirus fatality rate in Europe after Romania and the Czech Republic. Since July, it has add…",drkarajan,,Italy,0.0,0.0,Neutral
39," The Scottish Photography Experience

We have completed our risk assessment for Coronavirus Lockdown Easing Measures, w…",EdinburghWatch,"Edinburgh, Scotland",United Kingdom,0.0,0.0,Neutral
40, Hard to understand why the Festival of Remembrance this year seems to be focussed on Coronavirus. That is not what it’s…,CostertonSarah,"London, England",United Kingdom,0.5416666666666666,-0.2916666666666667,Negative
41,"**Due to government restrictions relating to coronavirus, public attendance of the celebration of Mass is prohibite… ",OLEM_Music,"Cambridge, UK",United Kingdom,0.22083333333333333,-0.0625,Negative
42," ""This is the busiest I have ever seen the accident and emergency department."" 

This is the coronavirus front line at Bra…",amyphilburn9,,Italy,0.0,0.0,Neutral
43,"lahmann remember when in january everyone was blaming the ""uncivilized"" and ""backward"" conditions on wuhan wet markets (and ""bat sou…",mr_socialist_,London,United Kingdom,0.4,-0.1,Negative
44, How the coronavirus surprised Italy again. I would like to say that we should learn something from Europe’s experience…,BrownhazelHazel,,Italy,0.9,0.1,Positive
45," As an epidemiologist, it’s hard to sleep

While online hate mail trolls call me sheep...

Watching pandemic, I lay awake...…",karlawaggener,,Italy,0.7208333333333333,-0.5458333333333334,Negative
46, Funny how all of these liberals are all of a sudden not afraid of coronavirus 🤔🤔 masks COVID19 pandemic COVIDIOTS ht…,weezer04664334,"California, USA",United States of America,0.7999999999999999,0.18333333333333335,Positive
47," 🚨 For the 4th day in a row, the number of cases of the coronavirus in the United States broke a world record.

Over 134,000…",buckwilde,Progressive Alabama,United States of America,0.0,0.0,Neutral
48," ☔️  The Covid Winter Grant Scheme is a new £170m Coronavirus scheme to support children and families this winter.

💷…",david4wantage,"Wantage, England",United Kingdom,0.45454545454545453,0.13636363636363635,Positive
49, Being physically distant doesn't mean we can't reach out to those we love. Something as simple as sending a text can let so…,FrancesLumsden,Scotland.,United Kingdom,0.49866071428571435,0.021875000000000006,Positive
50, Joe Biden was elected the nation’s 46th president Saturday in a repudiation of President Trump powered by legions of wo…,airj2345,,Italy,0.0,0.0,Neutral
51," A college student in Indiana died in her dorm room after testing positive for the coronavirus, school officials and her family…",straitarrow10,"Shelton, WA",United States of America,0.5454545454545454,0.22727272727272727,Positive
52,"ukhomeoffice  Courts &amp; tribunals are an essential public service.
 
They remain open and are COVID… ",HMGDepartments,United Kingdom,,0.2888888888888889,0.0,Neutral
53," Hi everyone, my friend is currently jobless due to coronavirus and has recently been diagnosed with kidney issues including…",raelleramshorn,,Italy,0.3416666666666666,-0.041666666666666664,Negative
54,"ukhomeoffice  FINES | We issued three £10,000 fines for breach of coronavirus legislation afte… ",HMGDepartments,United Kingdom,,0.0,0.0,Neutral
55," Nobody should lose their home because of the coronavirus crisis. 

We need a clear ban on evicti… ",Mash_uk77,Manor park,United Kingdom,0.3833333333333333,0.10000000000000002,Positive
56," BREAKING The United States has so far reported over 130,000 new coronavirus cases, the highest daily figure anywhere i…",gabriel67891734,,Italy,0.48484848484848486,0.07878787878787878,Positive
57,"NEW France reports 86,852 new coronavirus cases, the biggest one-day increase on record (may include a backlog)",GlobalTelevsion,"London, England",United Kingdom,0.45454545454545453,0.13636363636363635,Positive
58," Coronavirus update
-Global deaths reach 1.25 million
-U.S. cases rise more than 100,000 for third day
-Biden victory signals…",KANPIAO,"Richmond, British Columbia",Canada,0.16666666666666666,0.16666666666666666,Positive
59," 🏀🏀08/11/2020 ""COVID-19 Coronavirus SARS-CoV-2 ACB Madrid (J6) y Baskonia (J10), MVP"" 🏀🏀…",FreddyEnguita,"Alcorcón, España",Madrid's community,0.0,0.0,Neutral
60," This unique documentary, filmed entirely by NHS staff in early-2020, presents an extraordinary personal insight into hospital…",James0811163,,Italy,0.585,0.14166666666666666,Positive
61," It’s still important to keep washing your hands regularly to prevent the spread of Coronavirus. 
 
🧼 Wash for 20 second…",neilsmithgmb,north west & Irish region ,Bulgaria,0.5384615384615384,0.2,Positive
62,"""A Motorcycle Rally in a Pandemic? ‘We Kind of Knew What Was Going to Happen’"" by Mark Walker and Jack Healy via NY… ",breakingnews4uo,Algeria,,0.9,0.6,Positive
63,Joe Biden To Name Coronavirus Task Force Headed by Former Surgeon General On Monday | HuffPost ,signsco07,"Green Bay, WI",United States of America,0.25,0.02500000000000001,Positive
64, Joe Biden was elected the nation’s 46th president Saturday in a repudiation of President Trump powered by legions of wo…,MMD80974914,"Washington, DC",United States of America,0.0,0.0,Neutral
65," Coronavirus Hong Kong will strengthen Covid-19 measures, No 2 official declares, after failed bid to reopen cross-border…",amyribeiro2,,Italy,0.3,-0.5,Negative
66, Joe Biden won over voters who are concerned about the coronavirus and want a leader who will help unify the country and push for ra…,CTrainUnicorn,"Bellevue, WA",United States of America,0.0,0.0,Neutral
67,"poole Boris Johnson's astonishing bid to nail the leaker over lockdown
Was It Hancock??? ",somersetbilly10,Somerset,United Kingdom,1.0,0.5,Positive
68, Joe Biden was elected the nation’s 46th president Saturday in a repudiation of President Trump powered by legions of wo…,RReyes46623869,"Michigan, USA",United States of America,0.0,0.0,Neutral
69," The World v. Corona Sketch

Ms. Corona telling it as it is...



sketch comedy coronavirus COV…",EsYa2bZs3Z9sXjO,,Italy,0.0,0.0,Neutral
70," “The chumocracy has plummeted (to) new lows.”
If ever there was a moment when we needed the very best &amp;…",Luckylilybee,Little England,United Kingdom,0.42227272727272724,0.5681818181818181,Positive
71," The Danish government will slaughter millions of mink at more than 1,000 farms, citing concerns that a mutation in the coronav…",KingKoopaFiend,,Italy,0.5,0.5,Positive
72,CEO of the emerging Coronavirus in the world ,94_isha,أسكن في عين صحار وقلب مسقط,,0.0,0.0,Neutral
73,You never saw it because it didn’t happen. ,AndrewThinker,United Kingdom,,0.0,0.0,Neutral
74,"blackstock This is Dr. Nunez-Smith, co-chair of Biden’s coronavirus task force. Need I say more?! 🙌🏿🙌🏿🙌🏿 ",jeremyfaust,"Boston, MA",United States of America,0.5,0.625,Positive
75,"I don't know about Pence but I have been wondering about Barr, for the last two weeks or so. Haven't see… ",Pokerlady44,California,United States of America,0.06666666666666667,0.0,Neutral
76,"If you're in the business of leaking, and everyone is so keen to ""hand over phones"". Errr...Maybe they all didn't u… ",TheEdTechSchool,"Coventry, England",United Kingdom,0.0,0.0,Neutral
77,Residents of areas without Coronavirus curfew should try to stay at home Sri Lanka Chief Epidemiologist ,SriLankaEquity,"Colombo, Sri Lanka",Sri Lanka,0.0,0.0,Neutral
78,"After Joe Biden's win over Donald Trump, relief sweeps through America's allies SEE MORE HERE ==&gt;… ",bitcoinconnect,,Italy,0.45,0.65,Positive
79,Biden to announce coronavirus task force as part of presidential transition ,cbs46,"Atlanta, Ga.",United States of America,0.0,0.0,Neutral
80, Even more safety measures are now in place ,pelliott80,sunny scunny,United Kingdom,0.5,0.5,Positive
81,Didn't Kimberly have coronavirus?  Probably an STD also!,AComfortThought,,Italy,0.0,0.0,Neutral
82,"uk Under the Health Protection (Coronavirus, Restrictions) (England) (No. 4) Regulations 2020 which underpins the second national…",JLEstateAgents,"Ludgate Hill, Chad Square",,0.0,0.0,Neutral
83," ☔️  The Covid Winter Grant Scheme is a new £170m Coronavirus scheme to support children and families this winter.

💷…",RobertBuckland,Swindon,United Kingdom,0.45454545454545453,0.13636363636363635,Positive
84, A Missouri elections supervisor who knew they tested positive for the coronavirus and still worked at a polling site on Electi…,MyKillySoul,California/KellysMomFollowsMe,,0.5454545454545454,0.22727272727272727,Positive
85, ONE YEAR AGO TODAY 8 doctors in Wuhan were arrested for spreading rumors about a novel coronavirus outbreak 😳,micacacaela,,Italy,0.0,0.0,Neutral
86," Most coronavirus mutations are insignificant, but Denmark is concerned about a new variant of the virus in mink. Experts out…",zuher64,"Madrid, Comunidad de Madrid",Spain,0.4772727272727273,0.3181818181818182,Positive
87, Six boroughs have seen a downward trend ,Davecbb,,Italy,0.0,0.0,Neutral
88," Good hygiene not only stops the spread of COVID19 but many viruses, bacteria &amp; infections
• Wash your hands or use saniti…",patgarcia1976,Australia,,0.7000000000000001,0.39999999999999997,Positive
89,"Now it has happened... So, pastor, what is the solution to this current political conundrum ?

And what'… ",WeirdmaskmanNG,Azimuth -SPOOKY ISLAND,,0.25,0.0,Neutral
90," Married to a Tory MP ✅
Appointed by Johnson without competition ✅
Brazen conflict of interest ✅
Leaked confidential info…",hmb54,England,United Kingdom,0.25,0.25,Positive
91," Coronavirus update
-Global deaths reach 1.25 million
-U.S. cases rise more than 100,000 for third day
-Biden victory signals…",BettyAn36951785,"Arlington, TX",United States of America,0.16666666666666666,0.16666666666666666,Positive
92, Joe Biden was elected the nation’s 46th president Saturday in a repudiation of President Trump powered by legions of wo…,JAMESEDSTROM,New York City,United States of America,0.0,0.0,Neutral
93," It just keeps getting worse — at a horrifying trajectory. The daily average of new U.S. coronavirus cases has reached 106,…",UncleDadum,Globe Life Field,,0.4909090909090909,-0.2627272727272727,Negative
94,Online We Will Remember Here's the Remembrance services that are going ahead in Kent and how they've been changed because of cor…,DeTom48,"South East, England",Sweden,0.0,0.0,Neutral
95,"Thanks ! I really want people to read this article, because we all know about masks, washing hands… ",Minimalneg,,Italy,0.2,0.225,Positive
96, Coronavirus live updates Italy to lock down some regions; U.S. hospitalizations surge at an alarming rate …,DakilaJoriz,,Italy,0.46296296296296297,-0.03973063973063975,Negative
97," The number of deaths nationwide was more than 1,000 for a fifth consecutive day on Saturday

",NrIsodera,"Kuala Lumpur, Malaysia",Malaysia,0.5,0.5,Positive
98," It just keeps getting worse — at a horrifying trajectory. The daily average of new U.S. coronavirus cases has reached 106,…",emoh8r,nb they/them,,0.4909090909090909,-0.2627272727272727,Negative
99,"In a tourism sector that took the hit from the coronavirus pandemic, one Romanian entrepreneur saw increased demand… ",romania_insider,"Bucharest, Romania",Romania,0.0,0.0,Neutral
100," U.S. reports 130,000 new coronavirus cases, fourth straight daily record  ",mechage,somewhere in the left coast,,0.21363636363636362,0.08409090909090909,Positive
101, I sincerely request CM and the AP government to ban firecrackers this diwali. The health and safety of our peo…,SannapaneniTdp,"Hyderabad, India",India,0.5,0.5,Positive
102,Download to watch LIVE  Balochistan reports 14 more novel coronavirus cases Pak Live… ,ARYNewsApp,"Karachi, Pakistan",Pakistan,0.5,0.3181818181818182,Positive
103," A college student in Indiana died in her dorm room after testing positive for the coronavirus, school officials and her family…",marketstodays,"Tamil Nadu, India",India,0.5454545454545454,0.22727272727272727,Positive
104, When your State goes into a full lockdown with curfew in the coming weeks....make sure you remember the coronavirus magicall…,DermotFoley6,Ireland,,0.7194444444444444,0.425,Positive
105," The people who pretended Trump called coronavirus a ""hoax"" are currently acting like it is one.",Vasarahammer,,Italy,0.0,0.0,Neutral
106," Just got really emotional thinking we might finally get coronavirus briefings with ASL interpreters. 

The small diffe…",EllwoodVog,stolen land,Australia,0.6833333333333332,-0.08333333333333333,Negative
107," It just keeps getting worse — at a horrifying trajectory. The daily average of new U.S. coronavirus cases has reached 106,…",chain_necklace,"Chicago, IL",United States of America,0.4909090909090909,-0.2627272727272727,Negative
108," An eighth grade Missouri boy died of Covid-19 complications, becoming the state’s, and one of the nation’s, youngest death fro…",marketstodays,"Tamil Nadu, India",India,0.8500000000000001,0.45,Positive
109," Aerosol transmission of Covid-19 A room, a bar and a classroom how the coronavirus is spread through the air | Societ…",JohnSam57668631,,Italy,0.0,0.0,Neutral
110," UK's increased coronavirus cases linked to discount dining program, study claims ",DakilaJoriz,,Italy,0.0,0.0,Neutral
111," With Joe Biden in the White House, the world can finally look forward to the United States returning to a multilateral a…",glynmoody,London,United Kingdom,0.39999999999999997,0.03333333333333333,Positive
112," Spain has the highest coronavirus fatality rate in Europe after Romania and the Czech Republic. Since July, it has add…",CarlyleSarah,"Finestrat, España",Spain,0.0,0.0,Neutral
113," COVID U.S. reported over 128,000 new coronavirus cases in the last 24 hours.

The highest daily figure reported by any…",DrAnkit_VN,"देहरादून, भारत",India,0.17373737373737375,0.04545454545454545,Positive
114, Global biotech company CSL will begin manufacturing millions of vials of one of the most promising coronavirus vaccines in Melb…,RyanEckford,"Newcastle, Australia",Australia,0.3333333333333333,0.2333333333333333,Positive
115,"Sector I8/3, I8/4, G9/1, G10/4 and G6/2 will be sealed from from 10AM, November 9. Mouve area G10/4 will not be s… ",asiyaansar,Islamabad,Pakistan,0.0,0.0,Neutral
116,"Academy If you, or someone you know, is struggling financially because of the coronavirus, support is available through the Norfol…",cfletcherDoS,"East, England",United Kingdom,0.2,0.2,Positive
117, North Dakota and South Dakota have the nation’s worst rate of coronavirus deaths per capita in the last 30 days. Hundreds more peop…,RileyHallaway,"New York, NY",United States of America,0.5222222222222223,-0.16666666666666666,Negative
118, My new piece a Biden win is a win for global health. ,ArsilvanaLis,,Italy,0.3136363636363636,0.4340909090909091,Positive
119," Growing up, I used to love bursting firecrackers every diwali.
This year, however, they can put us in grave danger agai…",SannapaneniTdp,"Hyderabad, India",India,0.6,0.5,Positive
120, Second wave of Covid19 in Europe is at a different level altogether. France had 87k cases/day (equivalent of India havin…,NishiGoyal,,Italy,0.3,0.0,Neutral
121," BREAKING The United States has so far reported over 130,000 new coronavirus cases, the highest daily figure anywhere i…",phattuadmi1,"İzmir, Türkiye",Turkey,0.48484848484848486,0.07878787878787878,Positive
122,"Fong Everyone should read this Super clear examples of when, where and how you’re at risk from Covid19 and how you can keep yo…",MaisieHopkins13,,Italy,0.5249999999999999,0.21666666666666667,Positive
123," Sweden are experiencing a huge rise in cases of Corona Virus

Their current ""death rate per million"" is on par with France…",GeoffreyDonald7,England,United Kingdom,0.65,0.20000000000000004,Positive
124, The president-elect immediately signaled the importance of the COVID-19 fight to his administration. …,Starikiis1,,Italy,0.0,0.0,Neutral
125, Joe Biden won over voters who are concerned about the coronavirus and want a leader who will help unify the country and push for ra…,SabrinaHala1,"Lyon, France",France,0.0,0.0,Neutral
126, The president-elect immediately signaled the importance of the COVID-19 fight to his administration. …,brunneau,Connecticut,United States of America,0.0,0.0,Neutral
127,"""Clashes break out in Leipzig as German police try to end a maskless protest, and other news from around the world.… ",samturpin,"Davie, FL",United States of America,0.1875,-0.0625,Negative
128,"Dave Chappelle addresses Trump, racism and the coronavirus in a powerful 'SNL' monologue 'Did I trigger you?'… ",darryldean57,texas,United States of America,1.0,0.3,Positive
129,"💥The Ministry of Health in Gaza issues a summary of the daily report on the Corona virus in the Gaza Strip

 2534… ",NoorObaid11,,Italy,0.0,0.0,Neutral
130," A college student in Indiana died in her dorm room after testing positive for the coronavirus, school officials and her family…",djforreal57,,Italy,0.5454545454545454,0.22727272727272727,Positive
131, Joe Biden was elected the nation’s 46th president Saturday in a repudiation of President Trump powered by legions of wo…,vantesgiirl,,Italy,0.0,0.0,Neutral
132, The president-elect immediately signaled the importance of the COVID-19 fight to his administration. …,IDreamStuff,,Italy,0.0,0.0,Neutral
133," Ever since it appeared as if was gonna get it, CoronaVirus suddenly disappeared. Watch...as soon as the tables…",Ovat78934235,,Italy,0.5,0.0,Neutral
134, Joe Biden was elected the nation’s 46th president Saturday in a repudiation of President Trump powered by legions of wo…,diane_dewald,"Ruskin, FL",United States of America,0.0,0.0,Neutral
135,"""Driven by surges in the U.S. and Europe, global infections approach 50 million, with a daily death toll averaging… ",samturpin,"Davie, FL",United States of America,0.0,0.0,Neutral
136,I sincerely request CM and the AP government to ban firecrackers this diwali. The health and safety of our… ,KesineniSwetha,,Italy,0.5,0.5,Positive
137," 🚨 For the 4th day in a row, the number of cases of the coronavirus in the United States broke a world record.

Over 134,000…",spiritualwitch2,"Queens, NY",United States of America,0.0,0.0,Neutral
138," A college student in Indiana died in her dorm room after testing positive for the coronavirus, school officials and her family…",lubydubydoo,,Italy,0.5454545454545454,0.22727272727272727,Positive
139," On Saturday, Johns Hopkins University reported 126,742 new coronavirus cases and 1,040 new deaths.",GuruEden,"Sydney, Australia",Australia,0.45454545454545453,0.13636363636363635,Positive
140,The economic chaos brought about by the coronavirus pandemic is exceptionally distressing. It had forced countries… ,ideaspbusiness,Worldwide,United Kingdom,0.4666666666666666,0.18888888888888888,Positive
141,"Growing up, I used to love bursting firecrackers every diwali.
This year, however, they can put us in grave danger… ",KesineniSwetha,,Italy,0.6,0.5,Positive
142,"""More than 200 cases have been linked to a church in northern Massachusetts."" by BY ZACH MONTAGUE via NYT New York… ",samturpin,"Davie, FL",United States of America,0.4772727272727273,0.3181818181818182,Positive
143,"""Matt Gaetz, a congressman with close ties to the White House, said he tested positive for antibodies this week."" b… ",samturpin,"Davie, FL",United States of America,0.2727272727272727,0.11363636363636363,Positive
144," A steady stream of patients comes out of New Delhi's brownish atmosphere for treatment at the Breathe Better clinic, wher…",tres444,The Road Not Taken,United States of America,0.48484848484848486,0.2676767676767677,Positive
145," An eighth grade Missouri boy died of Covid-19 complications, becoming the state’s, and one of the nation’s, youngest death fro…",SElsworth4,,Italy,0.8500000000000001,0.45,Positive
146,"""U.S. infections are breaking records day after day, and deaths are rising in more than half the country."" by BY WI… ",samturpin,"Davie, FL",United States of America,0.3333333333333333,0.16666666666666669,Positive
147,"Coalition Changing How We Provide Care Lessons Learned From the Pandemic  via 
COVID19 coron…",MartinG8177,"England, United Kingdom",United Kingdom,0.0,0.0,Neutral
148,"""Hundreds of infections can be traced to the Sturgis motorcycle rally, but its full impact may never be clear."" by… ",samturpin,"Davie, FL",United States of America,0.4666666666666667,0.225,Positive
149, Australia almost eliminated the coronavirus by putting faith in science by The Washington Post Australia is close to…,ProfRetail,QUT Brisbane,Australia,0.0,0.0,Neutral
150," Hi everyone, my friend is currently jobless due to coronavirus and has recently been diagnosed with kidney issues including…",serienverliebt,in my favorites arms,,0.3416666666666666,-0.041666666666666664,Negative
151,"""A California city says the police can remove maskless customers from stores. The police aren’t so sure."" by BY ELL… ",samturpin,"Davie, FL",United States of America,0.8888888888888888,0.5,Positive
152," BREAKING The Department of Health added another mass recovery of 11,430 recoveries to go with 2,442 new coronavirus case…",usmo_umak,Makati City,Philippines,0.45454545454545453,0.13636363636363635,Positive
153,"""China’s propaganda machine rolls out praise for Wuhan, ignoring officials’ mistakes."" by BY VIVIAN WANG via NYT Ne… ",samturpin,"Davie, FL",United States of America,0.1,-0.1,Negative
154," As an epidemiologist, it’s hard to sleep

While online hate mail trolls call me sheep...

Watching pandemic, I lay awake...…",institute_truth,,Italy,0.7208333333333333,-0.5458333333333334,Negative
155, Rumoured ImACeleb contestant AJ Pritchard has reportedly tested positive for coronavirus days before the show's launch https…,tellymix,Brighton,United Kingdom,0.5454545454545454,0.22727272727272727,Positive
156," An eighth grade Missouri boy died of Covid-19 complications, becoming the state’s, and one of the nation’s, youngest death fro…",SageBergman,"New York, NY",United States of America,0.8500000000000001,0.45,Positive
157,"Premier Daniel Andrews has confirmed the 25-kilometre travel limit in Melbourne and the ""ring of steel"" separating… ",maxwalden_,Melbourne,Australia,1.0,0.4,Positive
158," ☔️  The Covid Winter Grant Scheme is a new £170m Coronavirus scheme to support children and families this winter.

💷…",Alex_Stafford,Rother Valley,United Kingdom,0.45454545454545453,0.13636363636363635,Positive
159," Please spare a for all the pathology staff who have been working incredibly hard throughout this pandemic

They play suc…",stephanielawto3,Essex,United Kingdom,0.5416666666666666,-0.2916666666666667,Negative
160," An eighth grade Missouri boy died of Covid-19 complications, becoming the state’s, and one of the nation’s, youngest death fro…",gemlym,,Italy,0.8500000000000001,0.45,Positive
161, NEWS Queen wears face mask in public for the first time as she visits grave of Unknown Warrior  h…,trawlerhorse,"South West, England",United Kingdom,0.3333333333333333,0.049999999999999996,Positive
162,"""Prof. Balloux has been more critical of news reports suggesting that the variant might impact vaccine efficacy. “T… ",ArkhamObserver,,Italy,0.65,0.25,Positive
163," An eighth grade Missouri boy died of Covid-19 complications, becoming the state’s, and one of the nation’s, youngest death fro…",ElyasAlariqi,"New York, USA",United States of America,0.8500000000000001,0.45,Positive
164, North Dakota and South Dakota have the nation’s worst rate of coronavirus deaths per capita in the last 30 days. Hundreds more peop…,CWalkerVegas22,,Italy,0.5222222222222223,-0.16666666666666666,Negative
165," At least five people in Trump’s orbit are positive for coronavirus, including his chief of staff, a Meadows deputy &amp; a…",orangeorchards,,Italy,0.4727272727272727,-0.03636363636363636,Negative
166,"One can never be too careful, you beat HIV, you beat Coronavirus only to be killed by your own toy RIPGINIMBI",TambiraiMurombo,Harare,Zimbabwe,0.75,0.07499999999999998,Positive
167,"This story is getting very low ratings on BBC, but surely is one to watch. The government went from quarantining al… ",TheMajorFawlty,Bristol,United Kingdom,0.6394444444444445,0.25,Positive
168, Joe Biden was elected the nation’s 46th president Saturday in a repudiation of President Trump powered by legions of wo…,AnnLemke,"Kaneohe, Oahu, Hawaii",,0.0,0.0,Neutral
169,"Lewis After talking about Chris Christie's bout with coronavirus, Dave Chappelle says ""Herman Cain Black ass been dead for 2 we…",sistadbarnes,,Italy,0.4166666666666667,-0.18333333333333335,Negative
170,Compelling coronavirus ,MarkTu,"Norwich, England",United Kingdom,0.6,0.3,Positive
171, 6) As an epidemiologist. I cry many nights to sleep watching this tidal wave unfold and wonder... why did it need to been t…,Nextlifetree,,Italy,0.5,0.5,Positive
172," BREAKING Minneapolis-St Paul hospitals. ICU capacity is effectively maxed out at 98% in Twin Cities, and 92% statewide. MN…",dzdj3,"Minneapolis, MN",United States of America,0.8,0.6,Positive
173, Among the jaw-dropping details in the Post’s campaign post-mortem Trump personally raised the idea of deploying racist birther…,RuleHistorians,"Toronto,ON, Ams'dm, NYC",,0.3,0.0,Neutral
174," An eighth grade Missouri boy died of Covid-19 complications, becoming the state’s, and one of the nation’s, youngest death fro…",Mahrukh05314978,FIKAR NOT ..🤣🤣 karachi,,0.8500000000000001,0.45,Positive
175," ""We are not going to control the pandemic."" - Mark Meadows

""Man, you really weren't kidding about that."" - Me …",jadebyrne_,"Sydney, Australia",Australia,0.2,0.2,Positive
